Number of Contributors,Reside in US,Age,Relationship Status,Country,Currency Used,Financially Independent,FI Number,Percent of FI Amount,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,FI Number [Retired],Retired,Intended Retirement Age,Work if FI,Annual Withdrawal Rate,Annual Withdrawal Amount,Working Industry,Employer Type,Job Role,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Housing Situation,Cost of Living Index,Total Assets,Total Debt,Annual Expenses,Total Income,Year
1,Yes,24-28,"In a relationship, but not married",,USD,No,1200000.0,6.0,5000000.0,3.0,30000.0,130000.0,,,49-53,Partially,,,Healthcare,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,81-90,315500.0,0.0,125400.0,148000.0,2020
2,Yes,24-28,Married,,USD,No,2500000.0,4.0,2500000.0,3.0,0.0,80000.0,,,44-48,Undecided,,,Healthcare,Nonprofit corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,61-70,389000.0,291000.0,192400.0,210000.0,2020
1,Yes,44-48,Married,,USD,No,900000.0,45.0,900000.0,3.0,60000.0,45000.0,,,54-58,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,21-30,625000.0,199000.0,1282.0,132000.0,2020
2,Yes,24-28,Married,,USD,No,2500000.0,5.6,2500000.0,4.0,,80000.0,,,49-53,Yes,,,Manufacturing,Private corporation,Consultant,For an Organization (Employed),,,,Own,71-80,594000.0,280000.0,102560.0,170000.0,2020
1,Yes,39-43,"In a relationship, but not married",,USD,No,2385000.0,50.0,,3.5,80000.0,50000.0,,,49-53,No,,,Education,Nonprofit corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,81-90,1828000.0,257000.0,125300.0,115000.0,2020
2,Yes,39-43,Married,,USD,Yes,,,,,,,1160000.0,No,39-43,Yes,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,1948484.0,196000.0,225000.0,225000.0,2020
1,Yes,18-23,"Single, never married",,USD,No,2000000.0,5.0,2000000.0,4.0,,70000.0,,,49-53,Partially,,,"Trade, transportation, utilities",Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Provided by employer or school,51-60,120225.0,12000.0,17020.0,104000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1000000.0,5.0,1200000.0,3.5,0.0,40000.0,,,49-53,Undecided,,,Financial Services,Nonprofit corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,158200.0,129000.0,32700.0,54000.0,2020
2,Yes,34-38,Married,,USD,No,3500000.0,26.0,3500000.0,3.0,25000.0,100000.0,,,44-48,Yes,,,Construction,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,61-70,1305000.0,0.07,263500.03,165000.0,2020
2,Yes,29-33,Married,,USD,No,2000000.0,25.0,4000000.0,3.5,0.0,125000.0,,,39-43,Partially,,,Financial Services,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,71-80,1421000.0,865000.0,236100.0,305000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1000000.0,8.0,1000000.0,4.0,50000.0,40000.0,,,Undecided,No,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,41-50,350000.0,240000.0,80400.0,95000.0,2020
1,Yes,39-43,"Single, never married",,USD,No,5000000.0,10.0,5000000.0,3.0,20000.0,120000.0,,,44-48,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,61-70,600000.0,0.0,4950.0,130000.0,2020
2,Yes,34-38,Married,,USD,No,3125000.0,89.0,4125000.0,4.0,2500.0,100000.0,,,39-43,Partially,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,81-90,4830000.0,1356000.0,1132800.0,1400000.0,2020
1,Yes,24-28,Married,,USD,No,2500000.0,40.0,3500000.0,3.5,30000.0,100000.0,,,39-43,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Rent,71-80,933607.0,0.0,146588.0,324179.0,2020
2,Yes,34-38,Married,,USD,No,3500000.0,81.0,4500000.0,3.0,0.0,135000.0,,,39-43,Yes,,,Financial Services,Public corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,81-90,2445437.0,0.0,566115.0,680000.0,2020
2,Yes,24-28,Married,,USD,No,2500000.0,33.0,3000000.0,4.0,25000.0,120000.0,,,39-43,No,,,Construction,Private corporation,Consultant,For an Organization (Employed),,,,Own,71-80,1262000.0,267000.0,129970.0,120000.0,2020
2,Yes,24-28,"In a relationship, but not married",,USD,No,1000000.0,10.0,1250000.0,4.0,25000.0,36000.0,,,Undecided,Partially,,,Professional & Business Services,Public corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,315824.0,157000.0,80260.0,104000.0,2020
2,Yes,24-28,"Single, never married",,USD,No,3000000.0,15.0,3500000.0,4.0,30000.0,140000.0,,,44-48,No,,,Financial Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,91-100,308801.0,1500.0,110000.0,170000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1000000.0,15.0,4000000.0,3.5,24000.0,200000.0,,,44-48,Yes,,,Information Technology,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,71-80,151000.0,5000.0,125600.0,130000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,2500000.0,23.2,2500000.0,23.2,28200.0,75000.0,,,54-58,Undecided,,,Professional & Business Services,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,91-100,670420.0,4060.0,153316.0,171170.0,2020
1,Yes,34-38,"Single, never married",,USD,No,2000000.0,65.0,2000000.0,3.0,45000.0,60000.0,,,44-48,Partially,,,Financial Services,Public agency,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Rent,61-70,1320000.0,0.0,200000.0,200000.0,2020
2,Yes,29-33,"In a relationship, but not married",,USD,No,2000000.0,40.0,2000000.0,4.0,30000.0,50000.0,,,49-53,Yes,,,Financial Services,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,91-100,730000.0,0.0,88300.0,285000.0,2020
1,Yes,54-58,"Single, never married",,USD,Yes,,,,,,,1000000.0,No,59-63,No,,,Public Administration (Civilian Government),Public agency,Administrative staff,For an Organization (Employed),,,,Own,61-70,988000.0,1000.0,20280.0,60000.0,2020
2,Yes,,Married,,USD,Yes,,,,,,,2000000.0,Yes,,,0.0,0.0,Information Technology,Public corporation,Management - Middle / Lower,,,,For an Organization (Employed),Own,71-80,4245000.0,0.0,3300.0,215000.0,2020
1,Yes,34-38,Married,,USD,No,1500000.0,10.0,2500000.0,4.0,100000.0,20000.0,,,54-58,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,810000.0,210000.0,21350.0,100000.0,2020
1,Yes,29-33,Married,,USD,No,2000000.0,47.0,3000000.0,3.0,20000.0,60000.0,,,39-43,Undecided,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,71-80,950000.0,0.0,175000.0,175000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,1000000.0,12.0,2500000.0,3.5,0.0,65000.0,,,44-48,Yes,,,Other Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Live with family or friends,61-70,347500.0,7000.0,72500.0,74000.0,2020
1,Yes,34-38,Married,,USD,No,2500000.0,45.0,5000000.0,3.3,60000.0,150000.0,,,44-48,Yes,,,Financial Services,Self-employed,Professional (licensed / certificated),For Myself (Self-Employed),,,,Own,61-70,2811000.0,525000.0,197850.0,275000.0,2020
2,Yes,29-33,Married,,USD,No,4280000.0,17.5,4280000.0,3.0,0.0,120000.0,,,34-38,Yes,,,Information Technology,Public corporation,Consultant,For an Organization (Employed),,,,Own,21-30,1162000.0,268000.0,363470.0,427000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,106000.0,9.0,1400000.0,3.5,,40000.0,,,39-43,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,61-70,94341.0,1700.0,75769.0,79893.0,2020
2,Yes,34-38,Married,,USD,No,1125000.0,62.0,2285000.0,3.5,,80000.0,,,54-58,No,,,Information Technology,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,811800.0,139000.0,28980.0,145000.0,2020
1,Yes,,"Single, never married",,USD,No,5000000.0,70.0,10000000.0,3.0,,,,,49-53,Undecided,,,,,,,,,,Own,81-90,0.0,0.0,0.0,,2020
1,Yes,18-23,"Single, never married",,USD,No,1000000.0,2.0,2500000.0,4.0,1800.0,80000.0,,,49-53,No,,,Education,Public agency,"Professional (non-licensed, certified)",,For an Organization (Employed),,,Rent,61-70,61500.0,0.0,17600.0,14500.0,2020
1,Yes,29-33,"Single, never married",,USD,No,1200000.0,27.0,1200000.0,3.5,35000.0,40000.0,,,44-48,Partially,,,Manufacturing,Public corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,71-80,308622.0,0.0,1650.0,83000.0,2020
2,Yes,39-43,Married,,USD,No,10000000.0,25.0,,,,100000.0,,,Undecided,Partially,,,Information Technology,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,81-90,4050000.0,854000.0,460000.0,550000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,1800000.0,33.0,3000000.0,3.25,,85000.0,,,44-48,Partially,,,Military,Public corporation,Program Staff,For an Organization (Employed),,,,Rent,81-90,631000.0,10000.0,105360.0,112000.0,2020
2,Yes,29-33,Married,,USD,No,1500000.0,23.0,1500000.0,4.0,36000.0,50000.0,,,44-48,Undecided,,,Military,Public agency,Management - Middle / Lower,For an Organization (Employed),,,,Own,61-70,639700.0,298000.0,96200.0,160000.0,2020
2,Yes,39-43,Married,,USD,No,2500000.0,44.0,2500000.0,4.0,25000.0,100000.0,,,49-53,Yes,,,Construction,Private corporation,Management - Upper,For an Organization (Employed),,,,Own,61-70,1281000.0,265000.0,249972.0,360000.0,2020
1,Yes,29-33,Married,,USD,Yes,,,,,,,2500000.0,No,39-43,Partially,,,Information Technology,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,81-90,2540200.0,0.0,28800.0,190000.0,2020
2,Yes,49-53,Married,,USD,No,2500000.0,45.0,300000.0,4.0,25000.0,100000.0,,,59-63,Undecided,,,Healthcare,Nonprofit corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,81-90,1425000.0,122000.0,67000.0,420000.0,2020
1,Yes,44-48,Married,,USD,No,3000000.0,30.0,3000000.0,3.5,100000.0,50000.0,,,54-58,Partially,,,,Self-employed,Professional (licensed / certificated),,,,For Myself (Self-Employed),Own,71-80,1440000.0,195000.0,309000.0,250000.0,2020
2,Yes,29-33,Married,,USD,No,3000000.0,11.3,3000000.0,3.0,0.0,90000.0,,,44-48,Undecided,,,Manufacturing,Private corporation,General Labor,For an Organization (Employed),,,,Rent,91-100,397000.0,0.0,309010.0,335000.0,2020
2,Yes,39-43,Married,,USD,No,1300000.0,17.0,1300000.0,3.5,13000.0,84000.0,,,59-63,Yes,,,Manufacturing,Private corporation,Consultant,For an Organization (Employed),,,,Own,61-70,770000.0,247000.0,193910.0,230000.0,2020
2,Yes,29-33,Married,,USD,No,2500000.0,14.0,1800000.0,5.0,1700.0,75000.0,,,44-48,Partially,,,"Arts, Entertainment, Recreation",Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,91-100,282000.0,0.0,250714.0,225000.0,2020
2,Yes,29-33,Married,,USD,No,750000.0,49.0,,4.0,,30000.0,,,39-43,Partially,,,Education,Public agency,Information Technology,For an Organization (Employed),,,,Own,61-70,553200.0,182400.0,8750.0,156700.0,2020
2,Yes,29-33,Divorced - Remarried,,USD,No,1000000.0,5.0,1000000.0,4.0,2000.0,40000.0,,,39-43,Yes,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,330123.0,242000.0,81754.0,100000.0,2020
2,Yes,34-38,Married,,USD,No,1000000.0,40.0,4000000.0,4.0,24000.0,0.0,,,Undecided,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,756000.0,0.0,136422.0,160000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,1000000.0,33.0,1500000.0,4.0,2000.0,60000.0,,,44-48,Partially,,,Transportation,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own a house that I rent out but I rent an apartment in another state,71-80,742000.0,152000.0,64200.0,95100.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,600000.0,35.0,2400000.0,4.0,0.0,100000.0,,,39-43,Undecided,,,Financial Services,Private corporation,Consultant,For an Organization (Employed),,,,Rent,91-100,212155.0,1000.0,16300.0,115000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,,10.0,,3.5,,,,,44-48,Partially,,,Information Technology,Self-employed,Consultant,For Myself (Self-Employed),For Myself (Self-Employed),,,Live with family or friends,61-70,80000.0,0.0,56500.0,99000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1000000.0,25.0,1250000.0,4.0,12000.0,40000.0,,,39-43,Undecided,,,Manufacturing,Public corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,31-40,251000.0,22000.0,79200.0,95000.0,2020
1,Yes,18-23,"In a relationship, but not married",,USD,No,2000000.0,4.0,2000000.0,3.5,40000.0,70000.0,,,39-43,Partially,,,Financial Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,80000.0,0.0,21600.0,88000.0,2020
1,Yes,<18,,,USD,Yes,,,,,,,7000000.0,No,24-28,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,141-150,9560000.0,0.0,0.0,900000.0,2020
2,Yes,29-33,Married,,USD,No,2500000.0,31.0,2500000.0,4.0,10000.0,100000.0,,,44-48,Partially,,,Manufacturing,Private corporation,Customer Service,For an Organization (Employed),,,,Own,71-80,1112008.0,208000.0,200091.0,316795.0,2020
2,Yes,24-28,"In a relationship, but not married",,USD,No,625000.0,10.0,2000000.0,4.0,0.0,60000.0,,,49-53,Partially,,,Professional & Business Services,Public corporation,Consultant,For an Organization (Employed),,,,Own,61-70,223100.0,5000.0,67900.0,110000.0,2020
2,Yes,39-43,Married,,USD,No,1081000.0,102.0,2175000.0,4.0,73000.0,43300.0,1080000.0,No,54-58,Partially,,,Information Technology,Nonprofit corporation,Information Technology,For an Organization (Employed),,,,Own,81-90,1710000.0,80000.0,198000.0,210000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1500000.0,13.0,2000000.0,4.0,15000.0,80000.0,,,49-53,Yes,,,Manufacturing,Nonprofit corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,216000.0,0.0,121500.0,120000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,1250000.0,20.0,1250000.0,3.0,15000.0,35000.0,,,39-43,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,For an Organization (Employed),,Rent,71-80,388050.0,130000.0,90800.0,95000.0,2020
2,Yes,29-33,Married,,USD,No,4000000.0,15.0,5000000.0,3.0,100000.0,80000.0,,,59-63,No,,,Information Technology,Public agency,Information Technology,For an Organization (Employed),,,,Own,81-90,1075000.0,330000.0,129000.0,250000.0,2020
1,Yes,34-38,"In a relationship, but not married",,USD,Yes,,,,,,,1020000.0,No,34-38,Partially,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,For Myself (Self-Employed),,Own,81-90,1625000.0,192500.0,123250.0,125000.0,2020
2,Yes,24-28,"In a relationship, but not married",,USD,No,2000000.0,10.0,2250000.0,4.0,0.0,80000.0,,,34-38,Yes,,,Public Administration (Civilian Government),Public agency,Program Staff,For an Organization (Employed),,,,Rent,61-70,256000.0,0.0,83540.0,120000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1500000.0,16.0,2000000.0,4.0,20000.0,40000.0,,,54-58,Partially,,,Manufacturing,Public corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,351000.0,13000.0,73117.0,85000.0,2020
2,Yes,34-38,Married,,USD,No,1250000.0,20.0,40.0,4.0,50000.0,50000.0,,,39-43,Partially,,,Healthcare,Public corporation,Management - Middle / Lower,For an Organization (Employed),,For Myself (Self-Employed),,Own,81-90,2024000.0,1465003.0,203503.0,251000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,,,,,,,,,59-63,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,34500.0,55000.0,0.0,,2020
2,Yes,49-53,Married,,USD,No,2000000.0,80.0,2000000.0,4.0,80000.0,80000.0,,,59-63,Undecided,,,Information Technology,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,61-70,1775000.0,100000.0,163600.0,220000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1500000.0,20.0,2500000.0,3.5,10000.0,10000.0,,,34-38,Partially,,,Leisure & Hospitality,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Live with family or friends,81-90,305000.0,0.0,64000.0,90000.0,2020
2,Yes,24-28,Married,,USD,No,1800000.0,15.0,2500000.0,3.5,0.0,87500.0,,,39-43,Yes,,,Other Services,Nonprofit corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,81-90,1029000.0,548000.0,214400.0,251000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1100000.0,32.0,3000000.0,3.75,,36000.0,,,Undecided,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,91-100,349600.0,0.0,0.0,,2020
1,Yes,34-38,"Single, never married",,USD,No,500000.0,27.0,750000.0,3.5,12000.0,25000.0,,,49-53,Yes,,,Public Administration (Civilian Government),Public agency,General Labor,For an Organization (Employed),,,,Rent,71-80,171526.0,0.0,54714.0,55921.0,2020
2,Yes,29-33,Married,,USD,No,1500000.0,65.0,1500000.0,4.0,40000.0,58000.0,,,34-38,Yes,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,For Myself (Self-Employed),,Own,71-80,1141000.0,58000.0,201800.0,220000.0,2020
1,Yes,18-23,"In a relationship, but not married",,USD,No,800000.0,34.0,1300000.0,4.0,50000.0,50000.0,,,29-33,Partially,,,Manufacturing,Private corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Rent,71-80,272000.0,0.0,89950.0,90500.0,2020
1,Yes,24-28,"Single, never married",,USD,No,3000000.0,10.0,3000000.0,4.0,30000.0,75000.0,,,39-43,Undecided,,,Natural Resources,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,61-70,325500.0,30000.0,71936.0,104000.0,2020
2,Yes,44-48,Married,,USD,No,3000000.0,50.0,3000000.0,4.0,,120000.0,,,49-53,Yes,,,Information Technology,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,91-100,2165000.0,562000.0,153600.0,250000.0,2020
2,Yes,34-38,Married,,USD,No,2250000.0,40.0,2500000.0,3.75,100000.0,100000.0,,,54-58,Yes,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,1425000.0,367500.0,169500.0,215000.0,2020
2,Yes,39-43,Married,,USD,Yes,,,,,,,4000000.0,No,44-48,Yes,,,Information Technology,Public corporation,Management - Upper,For an Organization (Employed),,,,Own,81-90,5272400.0,8000.0,767400.0,850000.0,2020
2,Yes,29-33,"In a relationship, but not married",,USD,No,5000000.0,20.0,5000000.0,4.0,,100000.0,,,49-53,Yes,,,Education,Nonprofit corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,81-90,1585000.0,0.0,0.0,200000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,1800000.0,2.0,100.0,3.0,24000.0,80000.0,,,49-53,Undecided,,,"Trade, transportation, utilities",Private corporation,Skilled Laborer / Skilled Trade,For an Organization (Employed),,,,Own a house but currently living in a RV,61-70,70500.0,184000.0,38400.0,80000.0,2020
2,Yes,29-33,Married,,USD,No,2500000.0,20.0,2500000.0,3.5,,70000.0,,,44-48,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,51-60,770000.0,0.0,158000.0,30000.0,2020
2,Yes,29-33,Married,,USD,No,2000000.0,25.0,2000000.0,3.5,15000.0,70000.0,,,44-48,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Live with family or friends,71-80,815000.0,3000.0,170700.0,250000.0,2020
2,Yes,29-33,Married,,USD,No,2500000.0,10.0,2000000.0,3.0,0.0,60000.0,,,49-53,Partially,,,Military,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,61-70,460000.0,10000.0,3350.0,230000.0,2020
1,Yes,44-48,"Single, never married",,USD,No,650000.0,83.0,650000.0,5.5,36000.0,32000.0,,,44-48,Yes,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,61-70,838000.0,159000.0,172800.0,173000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,1200000.0,30.0,1200000.0,3.5,25000.0,40000.0,,,39-43,Partially,,,Public Administration (Civilian Government),Public agency,Professional (licensed / certificated),For an Organization (Employed),,,,Own,81-90,796000.0,414000.0,118900.0,119000.0,2020
1,Yes,29-33,Married,,USD,No,3000000.0,25.0,3000000.0,3.5,10000.0,100000.0,,,49-53,Undecided,,,Professional & Business Services,Private corporation,Management - Upper,For an Organization (Employed),,,,Own,81-90,1765000.0,681000.0,309500.0,400000.0,2020
1,Yes,24-28,Married,,USD,No,1500000.0,15.0,150000.0,3.5,,50000.0,,,44-48,Partially,,,Information Technology,Private corporation,Consultant,For an Organization (Employed),,,,Own,61-70,427000.0,185000.0,71000.0,105000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,1000000.0,25.0,1000000.0,4.5,28000.0,35000.0,,,44-48,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,246200.0,0.0,75850.0,100000.0,2020
1,Yes,34-38,Married,,USD,No,3500000.0,85.0,3500000.0,3.0,,100000.0,,,34-38,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,81-90,3710000.0,2500.0,713000.0,610000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2500000.0,14.0,10000000.0,3.5,10000.0,300000.0,,,39-43,No,,,Information Technology,Self-employed,Consultant,For Myself (Self-Employed),,,,Rent,81-90,480500.0,0.0,58000.0,,2020
1,Yes,29-33,Married,,USD,No,1000000.0,55.0,2500000.0,4.0,30000.0,50000.0,,,44-48,Partially,,,Financial Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,744000.0,209000.0,15000.0,188000.0,2020
2,Yes,24-28,Married,,USD,No,750000.0,4.0,1500000.0,3.5,24000.0,40000.0,,,44-48,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,For Myself (Self-Employed),Rent,71-80,53000.0,1000.0,84700.0,109000.0,2020
1,Yes,34-38,"In a relationship, but not married",,USD,No,1300000.0,92.0,3000000.0,4.0,0.0,45000.0,,,44-48,No,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,81-90,1763000.0,160000.0,1800.0,160000.0,2020
2,Yes,24-28,Married,,USD,No,3000000.0,4.0,3000000.0,4.0,15000.0,120000.0,,,39-43,Yes,,,Leisure & Hospitality,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,61-70,124276.0,1000.0,99691.0,124000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1600000.0,13.75,3500000.0,3.5,0.0,100000.0,,,39-43,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,264049.69,176.81,139636.24,206523.89,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1600000.0,13.75,3500000.0,3.5,0.0,100000.0,,,39-43,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,264049.69,176.81,139636.24,206523.89,2020
2,Yes,34-38,Married,,USD,No,2500000.0,25.0,2500000.0,3.5,1.0,100000.0,,,49-53,No,,,Construction,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,For Myself (Self-Employed),,Own,61-70,1080000.0,0.0,310000.0,400000.0,2020
2,Yes,34-38,Married,,USD,No,1750000.0,30.0,1750000.0,3.5,2500.0,70000.0,,,44-48,Yes,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,1180741.0,365152.0,142922.0,121694.0,2020
2,Yes,49-53,Married,,USD,Yes,,,,,,,,No,54-58,Yes,,,Information Technology,Nonprofit corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,4600000.0,0.0,46000.0,325000.0,2020
2,Yes,24-28,Married,,USD,No,1500000.0,15.0,2500000.0,3.5,,,,,44-48,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,248000.0,55000.0,219800.0,260000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1000000.0,25.0,1000000.0,3.0,,25000.0,,,49-53,Undecided,,,Professional & Business Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,51-60,245000.0,0.0,17450.0,75000.0,2020
2,Yes,29-33,Married,,USD,No,2415000.0,52.0,5000000.0,2.0,0.0,90000.0,,,34-38,Partially,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,91-100,1332000.0,23900.0,212500.0,556000.0,2020
1,Yes,39-43,Married,,USD,No,1000000.0,90.0,1500000.0,4.0,40000.0,100000.0,,,44-48,Yes,,,Military,Public agency,Management - Middle / Lower,For an Organization (Employed),,,,Rent,1-20,865000.0,0.0,142000.0,150000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1750000.0,15.0,1750000.0,3.5,27600.0,60000.0,,,34-38,Yes,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,21-30,251500.0,0.0,131980.0,140000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,1875000.0,7.5,3000000.0,4.0,30000.0,45000.0,,,49-53,Undecided,,,Healthcare,Nonprofit corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,91-100,468000.0,0.0,62000.0,128000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1200000.0,200000.0,1200000.0,4.0,,40000.0,,,34-38,Partially,,,Manufacturing,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,For Myself (Self-Employed),,Own,71-80,427000.0,218000.0,7202.0,102000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,Yes,,,,,,,890000.0,No,Undecided,No,,,Manufacturing,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,81-90,1055000.0,600.0,103140.0,280000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,,,,4.0,,,,,Undecided,Undecided,,,Professional & Business Services,Public corporation,Marketing,For an Organization (Employed),,,,Rent,81-90,358694.0,0.0,217600.0,207000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1250000.0,15.0,1500000.0,3.75,0.0,50000.0,,,39-43,Partially,,,Construction,Public corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,71-80,219000.0,0.0,74554.0,96000.0,2020
1,Yes,34-38,"In a relationship, but not married",,USD,No,,,,,,,1000000.0,Yes,,,3.3,35000.0,,Private corporation,Program Staff,,,,"For an Organization (Employed), For Myself (Self-Employed)",Rent,61-70,1150000.0,0.0,1200.0,400000.0,2020
